,ethereum,fraxtal,base,blast,mode,sei,xlayer,sonic,ink,arbitrum,optimism,polygon,avalanche,bnb,zkevm,zksync,abstract,berachain,linea,aurora,hyperliquid,katana,plumephoenix,scroll,unichain,worldchain,plasma,solana,movement,aptos
ethereum,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
fraxtal,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
base,-,X,-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
blast,-,X,-B,-,-B,-B,-B,-B,-B,-B,-B,-B,-B,-B,-B,-,-,-,-,-,-,-,-,-,-,-,-
mode,-,X,B-,B-,-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
sei,-,X,B-,B-,B-,-,B-,B-,B-,B-,B-,B-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
xlayer,-,X,B-,B-,B-,B-,-,B-,B-,B-,B-,B-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
sonic,-,X,B-,B-,B-,B-,B-,-,B-,B-,B-,B-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
ink,-,X,B-,B-,B-,B-,B-,B-,-,B-,B-,B-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
arbitrum,-,X,B-,B-,B-,B-,B-,B-,B-,-,B-,B-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
optimism,-,X,B-,B-,B-,B-,B-,B-,B-,B-,-,B-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
polygon,-,X,B-,B-,B-,B-,B-,B-,B-,B-,B-,-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
avalanche,-,X,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-
bnb,-,X,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,-,B-,-,-,-,-,-,-,-,-,-,-,-,-
zkevm,-,X,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,-,-,-,-,-,-,-,-,-,-,-,-,-
zksync,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
abstract,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
berachain,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
linea,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aurora,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hyperliquid,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
katana,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plumephoenix,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
scroll,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
unichain,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
worldchain,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plasma,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
solana
movement
aptos
